"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年2月7日","52.64","53.94","54.21","51.80","749.01K","-2.54%"
"2019年2月6日","54.01","53.73","54.30","52.86","606.72K","0.65%"
"2019年2月5日","53.66","54.86","55.21","53.47","609.76K","-1.65%"
"2019年2月4日","54.56","55.32","55.75","53.29","622.47K","-1.27%"
"2019年2月1日","55.26","54.01","55.66","53.37","689.57K","2.73%"
"2019年1月31日","53.79","54.28","55.37","53.62","718.65K","-0.81%"
"2019年1月30日","54.23","53.24","54.93","53.09","731.31K","1.73%"
"2019年1月29日","53.31","52.12","53.93","51.84","660.53K","2.54%"
"2019年1月28日","51.99","53.56","53.64","51.33","650.67K","-3.17%"
"2019年1月25日","53.69","53.17","53.94","52.91","593.39K","1.05%"
"2019年1月24日","53.13","52.45","53.47","52.07","714.42K","0.97%"
"2019年1月23日","52.62","52.95","53.64","51.86","702.87K","0.10%"
"2019年1月22日","52.57","53.73","54.24","51.80","46.03K","-3.08%"
"2019年1月21日","54.24","53.66","54.48","53.58","-","1.10%"
"2019年1月20日","53.65","53.97","54.05","53.59","-","-0.28%"
"2019年1月18日","53.80","52.23","53.92","52.09","193.10K","3.32%"
"2019年1月17日","52.07","52.30","52.58","50.98","288.56K","-0.46%"
"2019年1月16日","52.31","52.00","52.52","51.26","694.18K","0.38%"
"2019年1月15日","52.11","50.78","52.30","50.64","664.18K","3.17%"
"2019年1月14日","50.51","51.73","52.11","50.38","791.53K","-2.09%"
"2019年1月11日","51.59","52.28","53.31","51.18","812.34K","-1.90%"
"2019年1月10日","52.59","52.18","52.78","51.37","821.78K","0.44%"
"2019年1月9日","52.36","49.80","52.58","49.71","891.92K","5.18%"
"2019年1月8日","49.78","48.73","49.95","48.31","765.98K","2.60%"
"2019年1月7日","48.52","48.30","49.79","48.11","819.94K","1.17%"
"2019年1月4日","47.96","46.90","49.22","46.65","817.28K","1.85%"
"2019年1月3日","47.09","46.26","47.49","45.35","788.72K","1.18%"
"2019年1月2日","46.54","45.80","47.78","44.35","850.48K","1.42%"
"2019年1月1日","45.89","45.77","45.95","45.73","-","1.06%"
"2018年12月31日","45.41","45.22","46.53","44.73","476.97K","0.18%"
"2018年12月28日","45.33","45.44","46.22","44.42","564.39K","1.61%"
"2018年12月27日","44.61","46.58","46.70","44.37","665.59K","-3.48%"
"2018年12月26日","46.22","42.85","47.00","42.52","698.41K","7.09%"
"2018年12月25日","43.16","43.00","43.25","42.88","-","1.48%"
"2018年12月24日","42.53","45.45","46.24","42.36","415.86K","-6.71%"
